url_path,page_title,auth_required,role_guard,description
/login,Login,NO,PUBLIC,Login/signup page using Amplify Auth UI
/dashboard,Dashboard,YES,EMPLOYER,Main landing page after login. Overview of jobs and applicants
/company-profile/new,Create Company Profile,YES,EMPLOYER,Form to create company profile (if none exists)
/company-profile,Company Profile,YES,EMPLOYER,View employer's company profile
/company-profile/edit,Edit Company Profile,YES,EMPLOYER,Edit existing company profile
/jobs,My Jobs,YES,EMPLOYER,List of all job postings by employer
/jobs/new,Post New Job,YES,EMPLOYER,Form to publish a new job listing
/jobs/[id],Job Details,YES,EMPLOYER,Job detail view for specific posting
/jobs/[id]/edit,Edit Job,YES,EMPLOYER,Edit form for an existing job
/jobs/[id]/applicants,Job Applicants,YES,EMPLOYER,List of applicants for a specific job
/jobs/[id]/applicants/[applicantId],Applicant Profile,YES,EMPLOYER,View/manage specific applicant and update status
